Name,Class ID,Book,Type,Subtype,School,Cost,Resource,Damage Modifier,Critical Chance,Target Scope,Passive,Combat Only,Rank,Class Sources,Enemy Sources,External Acquisition,Modifies,Description
Cleanse,Cleanse,Spells,Spell,Support,,20,Mana,1.0,,self,False,True,,Cleric; Crusader; Hierophant; Priest; Templar,Wayward Priest,False,,You feel all ailments leave your body like a draught of panacea.
Conjure Animal,ConjureAnimal,Spells,Spell,Calling,Arcane,12,Mana,1.0,,single_enemy,False,True,,Mage; Thaumaturgist,,False,,"Outside combat, call a local animal that fights independently for a short time."
Conjure Blade,ConjureBlade,Spells,Spell,Arcane,Arcane,5,Mana,1.0,,single_enemy,False,True,,Mage,,False,,Call a level-scaled blade from another dimension; its damage uses the caster's Intelligence instead of Strength.
Conjure Celestial,ConjureCelestial,Spells,Spell,Calling,Conjuration,28,Mana,1.0,,single_enemy,False,True,,Conjurer; Thaumaturgist,,False,,Conjure a nearby celestial creature as a transient ally. Thaumaturgists instead call their permanently chosen Xenid.
Conjure Dragon,ConjureDragon,Spells,Spell,Calling,Conjuration,34,Mana,1.0,,single_enemy,False,True,,Conjurer; Thaumaturgist,,False,,Conjure a nearby dragon creature as a transient ally. Thaumaturgists instead call their permanently chosen Xenid.
Conjure Elixir,ConjureElixir,Spells,Spell,Construct,Conjuration,28,Mana,1.0,,single_enemy,False,False,,Conjurer,,False,,Conjure an Elixir. The spell then requires 100 travel steps to recover.
Conjure Fiend,ConjureFiend,Spells,Spell,Calling,Conjuration,24,Mana,1.0,,single_enemy,False,True,,Conjurer; Thaumaturgist,,False,,Conjure a nearby fiend creature as a transient ally. Thaumaturgists instead call their permanently chosen Xenid.
Conjure Humanoid,ConjureHumanoid,Spells,Spell,Calling,Conjuration,12,Mana,1.0,,single_enemy,False,True,,Conjurer; Thaumaturgist,,False,,Conjure a nearby humanoid creature as a transient ally. Thaumaturgists instead call their permanently chosen Xenid.
Conjure Monster,ConjureMonster,Spells,Spell,Calling,Conjuration,16,Mana,1.0,,single_enemy,False,True,,Conjurer; Thaumaturgist,,False,,Conjure a nearby monster creature as a transient ally. Thaumaturgists instead call their permanently chosen Xenid.
Conjure Potion,ConjurePotion,Spells,Spell,Arcane,Arcane,20,Mana,1.0,,single_enemy,False,True,,Mage,,False,,Conjure a location-scaled Health or Mana potion. It cannot be used in town and enters a 50-step cooldown.
Conjure Shackles,ConjureShackles,Spells,Spell,Arcane,Arcane,15,Mana,1.0,,single_enemy,False,True,,Mage,,False,,"Attempt to hold an enemy prone with dimensional shackles for up to 3 turns. It resists with Dexterity, then attempts to break free with Strength each turn."
Conjure Spirit,ConjureSpirit,Spells,Spell,Calling,Conjuration,20,Mana,1.0,,single_enemy,False,True,,Conjurer; Thaumaturgist,,False,,Conjure a nearby spirit creature as a transient ally. Thaumaturgists instead call their permanently chosen Xenid.
Control Z,ControlZ,Spells,Spell,Time,Time,20,Mana,1.0,,none,False,True,,Pathfinder,,False,,Undo the last damaging action against you as if it never happened.
Corruption,Corruption,Spells,Spell,Shadow,,16,Mana,1.25,5,single_enemy,False,True,,Warlock,Archvile; Balor; Black Slime; Imp; Mind Flayer; Shadow Serpent; Succubus,False,,Damage the enemy and add a debuff that does damage over time.
Corruption 2,Corruption2,Spells,Spell,Shadow,Shadow,22,Mana,1.0,,single_enemy,False,True,,Demonologist,,False,,"A stronger corruption that damages over time, fed by fiend contracts."
Counterspell,Counterspell,Spells,Skill,Offensive,,0,,1.0,,none,True,True,,Wizard,Acolyte; Behemoth,False,,Automatically answer an incoming attack spell with a spell of your own.
Courage,Courage,Spells,Spell,Support,Holy,7,Mana,1.0,,single_enemy,False,True,,Healer,,False,,Become immune to Fear and gain 15% maximum health temporarily.
Creature Comforts,CreatureComforts,Spells,Spell,Support,Nature,10,Mana,1.0,,none,False,True,,Pathfinder; Ranger,,False,,"Pacify nearby animals, reducing encounters or urging them from combat."
Curse of Dysarthria,CurseDysarthria,Spells,Spell,Curse,Shadow,20,Mana,1.0,,single_enemy,False,True,,Demonologist,,False,,Persistently adds one turn to every spell's casting time.
Curse of Elijah,CurseElijah,Spells,Spell,Curse,Shadow,20,Mana,1.0,,single_enemy,False,True,,Demonologist,,False,,"Makes the target brittle, reducing armor and allowing fractures."
Curse of Frailty,CurseFrailty,Spells,Spell,Curse,Shadow,16,Mana,1.0,,single_enemy,False,True,,Warlock,Wendigo,False,,Persistently weakens every Strength-based action and check.
Curse of Polydipsia,CursePolydipsia,Spells,Spell,Curse,Shadow,22,Mana,1.0,,single_enemy,False,True,,,Necromancer,False,,"Afflicts the target with an escalating, unquenchable thirst."
Curse of Swarms,CurseSwarms,Spells,Spell,Curse,Shadow,20,Mana,1.0,,single_enemy,False,True,,Warlock,,False,,"Curse the enemy with swarms of mosquitoes, which deal minimal damage many times per turn and may spread corruption, status effects, and curses to nearby enemies."
Curse of Umbra,CurseUmbra,Spells,Spell,Curse,Shadow,16,Mana,1.0,,single_enemy,False,True,,Warlock,Black Slime,False,,Persistently lowers the target's Shadow resistance.
Demon Eyes,DemonEyes,Spells,Spell,Curse,Shadow,24,Mana,1.0,,single_enemy,False,True,,Demonologist,,False,,"Curse the enemy, making them enticing to Fiends; Contracts are more effective and damage from Fiends is increased."
Desoul,Desoul,Spells,Spell,Death,,50,Mana,1.0,,single_enemy,False,True,,Demonologist; Shadowcaster; Soulcatcher,Domingo; Lich,False,,"Removes the soul from the enemy, instantly killing it."
Detect Aberration,DetectAberration,Spells,Spell,Divination,Divination,10,Mana,1.0,,none,False,False,,,,False,,"Cast outside combat. For 50 steps, encounters with Aberration enemies may be detected in time to fight or avoid them. Casting another Detect spell replaces this one."
Detect Animal,DetectAnimal,Spells,Spell,Divination,Divination,10,Mana,1.0,,none,False,False,,Footpad; Pathfinder; Ranger,,False,,"Cast outside combat. For 50 steps, encounters with Animal enemies may be detected in time to fight or avoid them. Casting another Detect spell replaces this one."
Detect Construct,DetectConstruct,Spells,Spell,Divination,Divination,10,Mana,1.0,,none,False,False,,,,False,,"Cast outside combat. For 50 steps, encounters with Construct enemies may be detected in time to fight or avoid them. Casting another Detect spell replaces this one."
Detect Dragon,DetectDragon,Spells,Spell,Divination,Divination,10,Mana,1.0,,none,False,False,,,,False,,"Cast outside combat. For 50 steps, encounters with Dragon enemies may be detected in time to fight or avoid them. Casting another Detect spell replaces this one."
Detect Elemental,DetectElemental,Spells,Spell,Divination,Divination,10,Mana,1.0,,none,False,False,,Pathfinder,,False,,"Cast outside combat. For 50 steps, encounters with Elemental enemies may be detected in time to fight or avoid them. Casting another Detect spell replaces this one."
Detect Fey,DetectFey,Spells,Spell,Divination,Divination,10,Mana,1.0,,none,False,False,,,,False,,"Cast outside combat. For 50 steps, encounters with Fey enemies may be detected in time to fight or avoid them. Casting another Detect spell replaces this one."
Detect Fiend,DetectFiend,Spells,Spell,Divination,Divination,10,Mana,1.0,,none,False,False,,Paladin,,False,,"Cast outside combat. For 50 steps, encounters with Fiend enemies may be detected in time to fight or avoid them. Casting another Detect spell replaces this one."
Detect Humanoid,DetectHumanoid,Spells,Spell,Divination,Divination,10,Mana,1.0,,none,False,False,,Footpad,,False,,"Cast outside combat. For 50 steps, encounters with Humanoid enemies may be detected in time to fight or avoid them. Casting another Detect spell replaces this one."
Detect Monster,DetectMonster,Spells,Spell,Divination,Divination,10,Mana,1.0,,none,False,False,,,,False,,"Cast outside combat. For 50 steps, encounters with Monster enemies may be detected in time to fight or avoid them. Casting another Detect spell replaces this one."
Detect Slime,DetectSlime,Spells,Spell,Divination,Divination,10,Mana,1.0,,none,False,False,,Footpad,,False,,"Cast outside combat. For 50 steps, encounters with Slime enemies may be detected in time to fight or avoid them. Casting another Detect spell replaces this one."
Detect Undead,DetectUndead,Spells,Spell,Divination,Divination,10,Mana,1.0,,none,False,False,,Healer; Paladin,,False,,"Cast outside combat. For 50 steps, encounters with Undead enemies may be detected in time to fight or avoid them. Casting another Detect spell replaces this one."
Disease Breath,DiseaseBreath,Spells,Spell,Status,Disease,25,Mana,1.0,,single_enemy,False,True,,,Aboleth; Ghoul,False,,"A diseased cloud emanates onto the enemy, with a chance to lower the enemy's constitution permanently."
Disintegrate,Disintegrate,Spells,Spell,Death,,65,Mana,1.0,5,single_enemy,False,True,,,Beholder; Merzhin,False,,"An intense blast focused directly at the target, obliterating them or doing great damage."
Dispel,Dispel,Spells,Spell,Status,,20,Mana,1.0,,single_enemy,False,True,,Crusader; Diviner; Hierophant; Inquisitor; Lycan; Priest; Sorcerer; Soulcatcher; Templar; Warlock,Beholder; Chimera; Jester; Ogre; Pseudodragon,False,,"Cast an anti-magic spell on your foe, removing any positive status effects."
Dissonant Chord,DissonantChord,Spells,Spell,Non-elemental,Performance,10,Mana,1.0,,single_enemy,False,True,,Bard,,False,,Deal non-elemental damage and reduce the target's Magic for two turns.
Divine Judgment,DivineJudgment,Spells,Spell,Holy,,50,Mana,3.0,5,single_enemy,False,True,,,,False,,"The angelic Watcher raises a holy sword and passes divine judgment, smiting the enemy while restoring and cleansing the summoner."
Divine Protection,DivineProtection,Spells,Spell,Support,,12,Mana,1.0,,self,False,True,,Crusader; Healer; Paladin,,False,,"A shimmering aura envelops the user, shielding them with the celestial power of the Divine. While active, Divine Protection fortifies defenses, significantly reducing incoming physical damage."
Divine Protection II,DivineProtection2,Spells,Spell,Support,Holy,20,Mana,1.0,,single_enemy,False,True,,Crusader,,False,,Greatly increase Defense for five turns and weaken nearby enemies for three turns.
Doom,Doom,Spells,Spell,Death,,15,Mana,1.0,,single_enemy,False,True,,Warlock,Mind Flayer,False,,"Places a timer on the enemy's life, ending it when the timer expires."
Earthquake,Earthquake,Spells,Spell,Earth,Elemental,26,Mana,2.5,8,all_enemies,False,True,2,Wizard,Sandworm,True,,"The cave wall and ceiling are brought down by a massive seismic event, dealing devastating earth damage."
Eclipse,Eclipse,Spells,Spell,Transformation,Shadow,30,Mana,1.0,,single_enemy,False,True,,Warlock,,False,,Enter a short shadow form.
Electrocution,Electrocution,Spells,Spell,Electric,Arcane,25,Mana,2.25,4,single_enemy,False,True,,Wizard,,False,,A million volts of electricity passes through the enemy.
Enfeeble,Enfeeble,Spells,Spell,Status,,12,Mana,1.0,,single_enemy,False,True,,Diviner; Inquisitor; Mage,Aboleth; Barghest; Brown Slime; Circe; Disciple; Golem; Green Slime; Iron Golem; Mad Waitress; Necromancer; Night Hag; Red Slime,False,,"Cripple your foe for 4 turns, reducing Attack and Defense by 20%. Hit chance scales with the caster's Intelligence against the target's Constitution."
Enliven Dead,EnlivenDead,Spells,Spell,Shadow,Shadow,18,Mana,1.0,,single_enemy,False,False,,Mage,,False,,"Outside combat, raise an undead version of the last defeated non-boss enemy after a Charisma/Luck check."
Enter Wall,EnterWall,Spells,Spell,Movement,,75,Mana,1.0,,single_enemy,False,True,,Seeker,,False,,Pass through ordinary walls for a few steps.
Eruption,Eruption,Spells,Spell,Fire,,40,Mana,3.5,5,single_enemy,False,True,,,,False,,"The son of Vulcan erupts in a cataclysmic blaze, scorching the enemy and hardening his own volcanic hide."
Expel Curse,ExpelCurse,Spells,Spell,Healing,Holy,24,Mana,1.0,,single_enemy,False,True,,Archbishop; Archdruid; Priest,,False,,Remove all persistent curses from the target.
Explosive Decoy,ExplosiveDecoy,Spells,Spell,Illusion,Arcane,18,Mana,1.0,,single_enemy,False,True,,Conjurer,,False,,"Sacrifice one remaining Mirror Image, causing it to explode and deal Arcane damage to the target."
Fireball,Fireball,Spells,Spell,Fire,Arcane,10,Mana,2.0,10,single_enemy,False,True,,Knight Enchanter; Sorcerer,Flame Wisp; Jester; Nightmare; Pseudodragon,False,,A giant ball of fire that consumes the enemy.
Firebolt,Firebolt,Spells,Spell,Fire,Arcane,2,Mana,1.5,10,single_enemy,False,True,,Demonologist; Mage,Disciple; Red Slime; Spell-Sealed Cutpurse,False,,A mote of fire propelled at the foe.
Firestorm,Firestorm,Spells,Spell,Fire,Arcane,20,Mana,2.5,10,single_enemy,False,True,,Wizard,Archvile,False,,"Fire rains from the sky, incinerating the enemy."
Floating Crystal,FloatingCrystal,Spells,Spell,Construct,Conjuration,0,,1.0,,single_enemy,False,True,,Conjurer,,False,,"Conjure a crystal that siphons 10% of maximum MP after each caster turn. At 30% it explodes, scaling the stored mana by the caster's spell power."
Foretell,Foretell,Spells,Spell,Time,Time,16,Mana,1.0,,single_enemy,False,True,,Astromancer,,False,,Read the enemy's next likely action.
Geomancy,Geomancy,Spells,Spell,Divination,Earth,8,Mana,1.0,,none,False,True,,Pathfinder,,False,,Ask the earth for useful quest information or direction.
Gravitational Pull,GravitationalPull,Spells,Spell,Non-elemental,Arcane,28,Mana,1.0,,single_enemy,False,True,,Wizard,,False,,"Increase the gravitational well under a target, dealing non-elemental force damage. Grounded creatures are slowed for two turns; flying creatures are pinned down and cannot act."
Grove Pulse,GrovePulse,Spells,Spell,Nature,Nature,16,Mana,1.0,,single_enemy,False,True,,Archdruid,,False,,"Deal Nature damage, heal for half the damage, and represent one fitting aspect."
Gust,Gust,Spells,Spell,Wind,Elemental,7,Mana,1.25,6,single_enemy,False,True,,Mage; Pathfinder,Wind Myrmidon,False,,A strong gust of wind whips past the enemy.
Hallowed Ground,HallowedGround,Spells,Spell,Holy,Holy,20,Mana,1.0,,all_enemies,False,True,,Paladin,,False,,"The ground around you glows with sacred light, damaging nearby enemies and healing you for 3 turns."
Haste,Haste,Spells,Spell,Support,,24,Mana,1.0,,self,False,True,,Diviner; Ninja,,False,,"Bend the pace of battle around yourself, greatly increasing speed."
Heal,Heal,Spells,Spell,Heal,,6,Mana,1.0,5,self,False,False,,Healer; Paladin,Acolyte,False,,A glowing light envelopes your body and heals you for a percentage of the target's health.
Heal,Heal2,Spells,Spell,Heal,,12,Mana,1.0,5,self,False,False,,Crusader; Healer; Hierophant,Acolyte,False,,A glowing light envelopes your body and heals you for a percentage of the target's health.
Heal,Heal3,Spells,Spell,Heal,,25,Mana,1.0,5,self,False,False,,Archbishop,Acolyte,False,,A glowing light envelopes your body and heals you for a percentage of the target's health.
Hellfire,Hellfire,Spells,Spell,Non-elemental,,25,Mana,3.0,2,single_enemy,False,True,,,Balor; The Devil,False,,"The flames of Hell lick at the toes of the enemy, inflicting immense initial damage as well as damage over time."
Hemorrhaging Curse,HemorrhagingCurse,Spells,Spell,Curse,Shadow,20,Mana,1.0,,single_enemy,False,True,,Warlock,,False,,"Curse the enemy with open wounds that bleed, dealing periodic damage."
Hex,Hex,Spells,Spell,Status,,14,Mana,1.0,,single_enemy,False,True,,Shaman; Warlock,Circe; Jester,False,,"Afflict the target with a hex that can poison, blind, and silence."
Holy,Holy,Spells,Spell,Holy,,4,Mana,1.25,10,single_enemy,False,True,,Healer,Acolyte; Behemoth,False,,"The enemy is bathed in a holy light, cleansing it of evil. There is a chance on critical hit that the target will be blinded for a duration."
Holy,Holy2,Spells,Spell,Holy,,12,Mana,1.5,8,single_enemy,False,True,,Hierophant; Priest; Templar,Acolyte; Behemoth,False,,"The enemy is bathed in a holy light, cleansing it of evil. There is a chance on critical hit that the target will be blinded for a duration."
Holy,Holy3,Spells,Spell,Holy,,28,Mana,2.0,6,single_enemy,False,True,,Archbishop,Acolyte; Behemoth,False,,"The enemy is bathed in a holy light, cleansing it of evil. There is a chance on critical hit that the target will be blinded for a duration."
Hurricane,Hurricane,Spells,Spell,Wind,Elemental,22,Mana,1.75,6,single_enemy,False,True,1,Knight Enchanter; Sorcerer,Griffin,True,,"A violent storm berates your foes, causing great wind damage."
Hydration,Hydration,Spells,Spell,Heal,,16,Mana,1.0,5,self,False,True,,Pathfinder; Shaman,,False,,"Bath yourself in restorative waters, healing for an initial amount then more over time."
Ice Block,IceBlock,Spells,Spell,Support,Ice,30,Mana,1.0,,self,False,True,,Sorcerer,Domingo; Lich,False,,"The user encases themself in a block of ice, preventing damage and regaining health and mana over 3 turns. The user cannot act while frozen and any effects active will be paused."
Ice Lance,IceLance,Spells,Spell,Ice,Arcane,4,Mana,1.0,3,single_enemy,False,True,,Mage,Disciple; Ice Myrmidon,False,,A javelin of ice launched at the enemy.
Icicle,Icicle,Spells,Spell,Ice,Arcane,9,Mana,1.5,3,single_enemy,False,True,,Knight Enchanter; Sorcerer,,False,,Frozen shards rain from the sky.
Incite Panic,IncitePanic,Spells,Spell,Status,Enchantment,10,Mana,1.0,,all_enemies,False,True,,Healer,,False,,Attempt to inflict Fear on every enemy.
Inflate Health,InflateHealth,Spells,Spell,Shadow,Shadow,12,Mana,1.0,,single_enemy,False,True,,Mage,,False,,Grant temporary HP that is consumed before real HP for 3 turns.
Inspiring Verse,InspiringVerse,Spells,Spell,Support,Performance,8,Mana,1.0,,self,False,True,,Bard,,False,,Bolster Attack and Magic for three turns without replacing the active song.
Invisibility,Invisibility,Spells,Spell,Illusion,,18,Mana,1.0,,single_enemy,False,True,,Assassin; Ninja; Shadowcaster,,False,,Fade from sight for surprise and defense.
Kaleidoscope,Kaleidoscope,Spells,Spell,Elemental,Elemental,12,Mana,1.0,,single_enemy,False,True,,Bard,,False,,"Unleash a random elemental mist: Crimson burns, Azure slows, Emerald restores, and Violet weakens magic defense."
Kinetic Explosion,KineticExplosion,Spells,Spell,Arcane,Arcane,18,Mana,1.5,10,all_enemies,False,True,,Sorcerer; Spellblade,,False,,Send forth a concussive orb that explodes across the enemy ranks.
Lightning,Lightning,Spells,Spell,Electric,Arcane,15,Mana,1.75,4,single_enemy,False,True,,Knight Enchanter; Sorcerer,Vampire,False,,Throws a bolt of lightning at the enemy.
Maelstrom,Maelstrom,Spells,Spell,Non-elemental,,40,Mana,0,1,single_enemy,False,True,,,,False,,"A massive maelstrom engulfs the target, reducing target HP to 10% of max or 25% on a successful save."
Maelstrom Vortex,MaelstromVortex,Spells,Spell,Water,,40,Mana,3.0,5,single_enemy,False,True,,,,False,,"Summons a maddening vortex of churning water that overwhelms the target's senses with terror, silence, and blindness."
Magic Missile,MagicMissile,Spells,Spell,Non-elemental,,5,Mana,1.0,8,single_enemy,False,True,,Mage,Beholder; Circe; Mad Waitress; Merzhin; Night Hag; Ogre,False,,"Orbs of energy shoots forth from the caster, dealing non-elemental damage."
Magic Missile II,MagicMissile2,Spells,Spell,Non-elemental,,18,Mana,1.0,8,single_enemy,False,True,,Knight Enchanter; Sorcerer,,False,,"Orbs of energy shoots forth from the caster, dealing non-elemental damage."
Magic Missile III,MagicMissile3,Spells,Spell,Non-elemental,,40,Mana,1.0,8,single_enemy,False,True,,Wizard,,False,,"Orbs of energy shoots forth from the caster, dealing non-elemental damage."
Mana Barbs,ManaBarbs,Spells,Spell,Binding,Conjuration,30,Mana,1.0,,single_enemy,False,True,,Conjurer,,False,,"For 3 turns, mana spent by the target deals the same amount of damage back to it."
Mana Rupture,ManaRupture,Spells,Spell,Arcane,Arcane,20,Mana,1.0,,single_enemy,False,True,,Mage; Sorcerer,,False,,Deal damage based on the target's remaining mana.
Meteor,Meteor,Spells,Spell,Non-elemental,,0,,5.0,3,single_enemy,False,True,,,,False,,"A large, extra-terrestrial rock falls from the heavens, crushing the target for immense damage."
Miracle Blade,MiracleBlade,Spells,Spell,Miracle,Conjuration,45,Mana,1.0,,single_enemy,False,True,,Thaumaturgist,,False,,"Consume a Reality Fragment to make an unavoidable blade that ignores defense, evasion, shields, and resistance."
Miracle Crystal,MiracleCrystal,Spells,Spell,Miracle,Conjuration,75,Mana,1.0,,single_enemy,False,True,,Thaumaturgist,,False,,Consume a Reality Fragment to create a crystal that generates mana from nothing and bursts across every enemy after 4 turns.
Miracle Potion,MiraclePotion,Spells,Spell,Miracle,Conjuration,60,Mana,1.0,,single_enemy,False,True,,Thaumaturgist,,False,,"Consume a Reality Fragment to create both a Master Health Potion and Master Mana Potion, even in town and without a cooldown."
Miracle Shackles,MiracleShackles,Spells,Spell,Miracle,Conjuration,55,Mana,1.0,,single_enemy,False,True,,Thaumaturgist,,False,,"Consume a Reality Fragment to hold a target prone for 3 turns without an evasion check, immunity check, or escape roll."
Mirror Image,MirrorImage,Spells,Spell,Illusion,,8,Mana,1.0,,self,False,True,,Conjurer; Mage; Sorcerer,Circe; Copycat; Goblin; Harlequin; Merzhin; Puppet; Trickster,False,,"Create an illusion to fool the enemy into seeing multiple of the user, sometimes causing the enemy to target the wrong one. The illusion lasts until until the user is hit."
Mirror Image II,MirrorImage2,Spells,Spell,Illusion,,20,Mana,1.0,,self,False,True,,Wizard,,False,,"Create an illusion to fool the enemy into seeing multiple of the user, sometimes causing the enemy to target the wrong one. The illusion lasts until until the user is hit."
Molten Rock,MoltenRock,Spells,Spell,Fire,Elemental,16,Mana,2.0,9,single_enemy,False,True,,,Chimera,False,,"A giant, molten boulder is hurled at the enemy, dealing great fire damage."
Mudslide,Mudslide,Spells,Spell,Earth,Elemental,16,Mana,2.0,8,single_enemy,False,True,1,Knight Enchanter; Sorcerer,Brown Slime,True,,"A torrent of mud and earth sweep over the enemy, causing earth damage."
Napalm,Napalm,Spells,Spell,Fire,Fire,24,Mana,1.0,,single_enemy,False,True,,Demonologist,,False,,Consume an active burn to deal most of its remaining damage immediately.
Nature Shield,NatureShield,Spells,Spell,Support,Nature,28,Mana,1.0,,single_enemy,False,True,,Archdruid,,False,,Conjure life-orbs that intercept attack spells and heal you.
Netherchar,Netherchar,Spells,Spell,Fire,Fire,28,Mana,1.0,,single_enemy,False,True,,Demonologist,,False,,"Flames rise beneath the enemy, dealing Fire damage and setting it ablaze."
Nightmare,Nightmare,Spells,Spell,Shadow,Shadow,24,Mana,1.0,,single_enemy,False,True,,Shadowcaster,,False,,Twist fear into shadow damage against the enemy.
Nightmare Fuel,NightmareFuel,Spells,Skill,Offensive,,20,Mana,1.0,,single_enemy,False,True,,Conjurer,Mad Waitress; Night Hag; Nightmare,False,,"Invade the enemy's dreams, messing with their mind and dealing damage."
Noxious Mist,NoxiousMist,Spells,Spell,Poison,Nature,14,Mana,1.0,,all_enemies,False,True,,Druid,,False,,Deal Poison damage to all enemies and possibly Poison each target.
Nullify Poison,NullifyPoison,Spells,Spell,Support,Nature,6,Mana,1.0,,single_enemy,False,True,,Pathfinder,,False,,Cure the target's poison effect.
Oblivion,Oblivion,Spells,Spell,Shadow,,50,Mana,4.0,5,single_enemy,False,True,,,Vesperion,False,,"Tears open a rift to the void, unleashing pure darkness that may annihilate the target outright or drain their very essence."
Petrify,Petrify,Spells,Spell,Death,,50,Mana,1.0,,single_enemy,False,True,2,Wizard,Basilisk; Cockatrice,True,,Gaze at the enemy and turn them into stone.
Photon Sphere,PhotonSphere,Spells,Spell,Non-elemental,,150,Mana,1.5,4,all_enemies,False,True,3,Wizard,Domingo; Merzhin; Red Dragon,True,,"Collapse a sphere of light across every enemy, striking each target repeatedly with non-elemental damage."
Photon Sphere,Ultima,Spells,Spell,Non-elemental,,150,Mana,1.5,4,all_enemies,False,True,3,,Domingo; Merzhin; Red Dragon,True,,"Collapse a sphere of light across every enemy, striking each target repeatedly with non-elemental damage."
Plant Seeds,PlantSeeds,Spells,Spell,Earth,Nature,0,,1.0,,single_enemy,False,True,,Archdruid,,False,,Spread seeds of life around the battlefield; each seed changes the growth.
Poison Breath,PoisonBreath,Spells,Spell,Poison,Poison,20,Mana,1.5,5,single_enemy,False,True,2,Archdruid,Basilisk,True,,"Your spew forth a toxic breath, dealing poison damage and poisoning the target."
Poison Dart,PoisonDart,Spells,Spell,Poison,Nature,8,Mana,1.15,6,single_enemy,False,True,,Druid; Pathfinder,,False,,Shape a thorn into a venomous dart and send it into the enemy.
Poison Strike,PoisonStrike,Spells,Spell,Poison,Nature,12,Mana,1.0,,single_enemy,False,True,,Pathfinder,,False,,"Partially transform, biting the target for physical and poison damage."
Polymorph,Polymorph,Spells,Spell,Arcane,Arcane,12,Mana,1.0,,single_enemy,False,True,,Mage,,False,,Transform an enemy into a harmless bunny that cannot act for 2 turns. Bosses resist the transformation 90% of the time.
Prismatic Cataclysm,PrismaticCataclysm,Spells,Spell,Elemental,Elemental,180,Mana,1.0,,all_enemies,False,True,,Wizard,Circe,False,,Unleash all six elemental schools across every enemy.
Prismatic Finale,PrismaticFinale,Spells,Spell,Elemental,Elemental,18,Mana,1.0,,single_enemy,False,True,,Troubadour,,False,,"Spend all Crescendo to deal scaling Fire, Ice, Electric, or Wind damage."
Prismatic Ray,PrismaticRay,Spells,Spell,Elemental,Elemental,13,Mana,1.0,,single_enemy,False,True,,Bard,,False,,"Deal focused Fire, Ice, Electric, or Wind damage with a matching stat rider."
Raise Dead,RaiseUndeadAlly,Spells,Spell,Shadow,Shadow,28,Mana,1.0,,single_enemy,False,True,,,Necromancer,False,,Raise a Ghoul that fights beside the necromancer.
