Name,Class ID,Book,Type,Subtype,School,Cost,Resource,Damage Modifier,Critical Chance,Target Scope,Passive,Combat Only,Rank,Class Sources,Enemy Sources,External Acquisition,Modifies,Description
Black Lotus Mastery,BlackLotusMastery,Skills,Skill,Passive,,0,,1.0,,single_enemy,True,True,,Ninja,,False,,"Passive: Perfects toxin severity, potency, and coating retention."
Blackjack,Blackjack,Skills,Skill,Luck,,7,Mana,1.0,,single_enemy,False,True,,,,False,,Play a round of blackjack with the Jester; different things happen depending on the result.
Blade of Fatalities,BladeFatalities,Skills,Skill,Power Up,,0,,1.0,,self,False,True,,,,True,,"Sacrifice health to strengthen your attacks, dealing extra damage with every hit for a limited time."
Blessed Light,BlessedLight,Skills,Skill,Class,,0,,1.0,,single_enemy,True,True,,Paladin,,False,,Passive: Successfully casting a healing spell in combat grants +10 Attack for three turns.
Blind Fighting,BlindFighting,Skills,Skill,Class,,0,,1.0,,single_enemy,True,True,,Weapon Master,,False,,Passive: Reduce Blind's accuracy penalty and make Blind less likely to be inflicted.
Blood Rage,BloodRage,Skills,Skill,Power Up,,0,,1.0,,single_enemy,True,True,,,,True,,"A berserker's rage knows no bounds, their power growing as their blood is spilled. Attack power increases as health decreases and gains an increase to defense below 30%."
Boast,Boast,Skills,Skill,Class,,0,Resolve,1.0,,single_enemy,False,True,,Sentinel; Stalwart Defender,,False,,Gain temporary health and increased Resolve generation for three turns.
Boomerang Toss,BoomerangToss,Skills,Skill,Class,,0,,1.0,,single_enemy,True,True,,Berserker,,False,,Passive: Devastating Throw hits three times and returns the main-hand weapon instead of disarming you.
Borrowed Ward,BorrowedWard,Skills,Skill,Defensive,,5,Mana,1.0,,self,False,True,,Spell Stealer,,False,,Spend all Stolen Charge to raise Defense and Magic Defense for three turns.
Bounce Back,BounceBack,Skills,Skill,Class,,0,,1.0,,single_enemy,True,True,,Pathfinder,,False,,Passive: Recover from Prone more quickly.
Brace,Brace,Skills,Skill,Class,,8,Mana,1.0,,single_enemy,False,True,,Berserker; Grandmaster of Arms; Weapon Master,,False,,A polearm discipline art that prepares a defensive counter stance.
Brace 2,Brace2,Skills,Skill,Class,,10,Mana,1.0,,single_enemy,False,True,,Berserker; Grandmaster of Arms; Weapon Master,,False,,A mastered defensive brace with greater force behind its answering strike.
Brace 3,Brace3,Skills,Skill,Class,,12,Mana,1.0,,single_enemy,False,True,,Grandmaster of Arms,,False,,A perfected brace that turns defense into a masterful counter.
Brace Wall,BraceWall,Skills,Skill,Class,,0,Resolve,1.0,,single_enemy,False,True,,Sentinel; Stalwart Defender,,False,,Spend Resolve to raise Defense; also refreshes Hold the Line.
Braggadocious,Braggadocious,Skills,Skill,Class,,0,,1.0,,single_enemy,True,True,,,,False,,Increase HP by 50 and convert Boast's unused temporary HP into Resolve.
Brain Gorge,BrainGorge,Skills,Skill,Offensive,,30,Mana,0.75,,single_enemy,False,True,,,Brain Gorger,False,,Attack the enemy and attempt to latch on and eat its brain; a successful attack can lower intelligence.
Breakdown,Breakdown,Skills,Skill,Class,,0,,1.0,,single_enemy,True,True,,Spellblade,,False,,"Each melee hit lowers that target's Magic Defense by 4, up to five stacks. The next damaging spell benefits and clears the stacks."
Breathe Fire,BreatheFire,Skills,Skill,Offensive,,0,,1.0,,single_enemy,False,True,,,,False,,Special attack used randomly when attack is selected. Only used by dragon-like creatures.
Brutish Strength,BrutishStrength,Skills,Skill,Class,,0,,1.0,,single_enemy,True,True,,Weapon Master,,False,,Passive: Increase critical damage based on the equipped weapon's discipline rank.
Bullionaire,Bullionaire,Skills,Skill,Power Up,,0,,1.0,,single_enemy,True,True,,Shadowcaster,,False,Gold Toss,"Jinkin Gold Toss uses endless heavy bullion, deals double damage, and increases combat gold."
Bulwark Guard,BulwarkGuard,Skills,Skill,Class,,0,Resolve,1.0,,single_enemy,False,True,,Sentinel; Stalwart Defender,,False,,Create a powerful barrier that lasts for one turn.
Cacophany,Cacophany,Skills,Skill,Support,,10,Mana,1.0,,all_enemies,False,True,,Healer,,False,,Perform an unpredictable Charisma-driven vocal warm-up.
Call Contract,CallContract,Skills,Skill,Class,,0,,1.0,,single_enemy,False,True,,Demonologist,,True,,Call on the active fiend patron and bargain for aid.
Cartography,Cartography,Skills,Skill,Truth,,0,,1.0,,single_enemy,True,True,,Seeker,,False,,"Seekers are masters at map making and gain the ability to see all of the dungeon, regardless of whether an area has been visited."
Cautious Assault,CautiousAssault,Skills,Skill,Class,,0,,1.0,,single_enemy,True,True,,Pathfinder,,False,,Passive: Increase dodge chance against counterattacks.
Censure,Censure,Skills,Skill,Class,,12,Mana,1.0,,single_enemy,False,True,,Crusader,,False,,Attack with a chance to interrupt an enemy charge ability.
Center the Beast,CenterBeast,Skills,Skill,Defensive,,10,Mana,1.0,,self,False,True,,Lycan,,False,,Werewolf only: defend for two turns and halve the next Frenzy trigger chance.
Centered Guard,CenteredGuard,Skills,Skill,Class,,8,Mana,1.0,,single_enemy,False,True,,Monk,,False,,Enter a defensive stance for two turns; later talents extend it and add protection.
Challenge,Challenge,Skills,Skill,Class,,0,,1.0,,single_enemy,False,True,,,,False,,Mark the current enemy as your Challenged Foe for 3 turns.
Charge,Charge,Skills,Skill,Offensive,,10,Mana,2.5,,single_enemy,False,True,,Lycan; Sentinel; Templar; Warrior,Clannfear; Direbear; Dragonkin; Giant; Minotaur; Steel Predator,False,,"Charge the enemy, building momentum before stunning them and delivering a devastating weapon strike."
Chastise,Chastise,Skills,Skill,Class,,0,,1.0,,single_enemy,True,True,,Warrior,,False,,Passive: Shield Slam deals 25% more damage.
Cheat Death,CheatDeath,Skills,Skill,Class,,0,,1.0,,single_enemy,True,True,,Rogue,,False,,"Once per combat, Misfortune can help turn fatal damage into survival at 1 HP."
Chi Heal,ChiHeal,Skills,Skill,Chi Strike,,16,Mana,1.0,,self,False,True,,Monk,,False,,Channel your chi energy to heal wounds and cleanse all negative status effects.
Choose Fate,ChooseFate,Skills,Skill,Skill,,0,,1.0,,single_enemy,False,True,,,The Devil; Vesperion,False,,"The Devil likes to toy with his food, letting the player decide what he will do for that turn."
Choose Fate,VesperionChooseFate,Skills,Skill,Skill,,0,,1.0,,single_enemy,False,True,,,The Devil; Vesperion,False,,"Vesperion forces the hero to choose which consequence of Voluntas they will bear: pain, loss, or control."
Chronology,Chronology,Skills,Skill,Class,,0,,1.0,,single_enemy,True,True,,Pathfinder,,False,,Passive: Add the Intelligence modifier to initiative rolls.
Citadel Aegis,CitadelAegis,Skills,Skill,Class,,0,Resolve,1.0,,single_enemy,False,True,,Stalwart Defender,,True,,Consume full Resolve for a fortress barrier and defensive stance.
Classical Enrichment,ClassicalEnrichment,Skills,Skill,Power Up,,0,,1.0,,single_enemy,True,True,,Sorcerer,,False,,"Further specialize in elemental magic, lowering Arcane spell potency by an additional 25%."
Classical Force,ClassicalForce,Skills,Skill,Power Up,,0,,1.0,,single_enemy,True,True,,Mage,,False,,"Specialize School Affinity in elemental magic. Arcane spell damage, control, barriers, and enhancements operate at 75% potency."
Cleaving Edge,CleavingEdge,Skills,Skill,Class,,0,,1.0,,single_enemy,True,True,,Knight Enchanter,,False,,Offensive Weave Releases also affect enemies adjacent to the primary target.
Coating Conservation,CoatingConservation,Skills,Skill,Passive,,0,,1.0,,single_enemy,True,True,,Ninja,,False,,Passive: Poison immunity no longer consumes a coating.
Combustion,Combustion,Skills,Skill,Power Up,,0,,1.0,,single_enemy,True,True,,Sorcerer,,False,,Fire spells also burn their targets.
Commitment,Commitment,Skills,Skill,Class,,0,,1.0,,single_enemy,True,True,,Warrior,,False,,"Passive: Consecutive attacks against the same target gain stacking accuracy and critical-strike damage. The focus ends after another combat action, changing targets, or combat. Choosing Commitment closes the other Warrior promotions."
Compose,Compose,Skills,Skill,Class,,0,,1.0,,single_enemy,False,False,,,,False,,Choose an advanced song and compose it onto one-use sheet music with its matching equipped instrument.
Compose Battle Hymn,ComposeBattleHymn,Skills,Skill,Class,,0,,1.0,,single_enemy,False,True,,,,False,,Compose Battle Hymn into one-use sheet music from the character menu.
"Compose Bones, Thugs, and Harmony",ComposeBonesThugsHarmony,Skills,Skill,Class,,0,,1.0,,single_enemy,False,True,,,,False,,"Compose Bones, Thugs, and Harmony into one-use sheet music from the character menu."
Compose Chorus Time,ComposeChorusTime,Skills,Skill,Class,,0,,1.0,,single_enemy,False,True,,,,False,,Compose Chorus Time into one-use sheet music from the character menu.
Compose Gold Trigger,ComposeGoldTrigger,Skills,Skill,Class,,0,,1.0,,single_enemy,False,True,,,,False,,Compose Gold Trigger into one-use sheet music from the character menu.
Compose Low-defense-ian Rhapsody,ComposeLowDefenseRhapsody,Skills,Skill,Class,,0,,1.0,,single_enemy,False,True,,,,False,,Compose Low-defense-ian Rhapsody into one-use sheet music from the character menu.
Compose Ode to the Ramparts,ComposeOdeToTheRamparts,Skills,Skill,Class,,0,,1.0,,single_enemy,False,True,,,,False,,Compose Ode to the Ramparts into one-use sheet music from the character menu.
Compose Scores and Scores Score,ComposeScoresAndScoresScore,Skills,Skill,Class,,0,,1.0,,single_enemy,False,True,,,,False,,Compose Scores and Scores Score into one-use sheet music from the character menu.
Compose Slow Ride,ComposeSlowRide,Skills,Skill,Class,,0,,1.0,,single_enemy,False,True,,,,False,,Compose Slow Ride into one-use sheet music from the character menu.
Compose Symphony of Disfunction,ComposeSymphonyOfDisfunction,Skills,Skill,Class,,0,,1.0,,single_enemy,False,True,,,,False,,Compose Symphony of Disfunction into one-use sheet music from the character menu.
Composed Wrath,ComposedWrath,Skills,Skill,Class,,0,,1.0,,single_enemy,True,True,,Berserker,,False,,Passive: You can Attack or use Skills while under the effects of Frenzy.
Condemnation,Condemnation,Skills,Skill,Class,,10,Mana,1.0,,single_enemy,False,True,,Crusader,,False,,Strike with holy vengeance for weapon and Holy damage.
Conduit Command,ConduitCommand,Skills,Skill,Class,,10,Mana,1.0,,single_enemy,False,True,,Thaumaturgist,,False,,Empower the active summon's next non-Recall action.
Conduit Strike,ConduitStrike,Skills,Skill,Offensive,,9,Mana,1.0,,single_enemy,False,True,,Hierophant,,False,,Strike for 120% staff damage and conduct prepared sacred power.
Consecrated Conduit,ConsecratedConduit,Skills,Skill,Class,,10,Mana,1.0,,single_enemy,False,True,,Hierophant,,False,,Spend Hierophant Devotion to empower the next staff or holy attack.
Consume Item,ConsumeItem,Skills,Skill,Offensive,,14,Mana,1.0,,single_enemy,False,True,,,Sandworm,False,,"You enjoy the finer things in life, which includes metal, wood, and leather. Steal an item from the enemy and consume it, absorbing the power of the item."
Contagious Blaze,ContagiousBlaze,Skills,Skill,Power Up,,0,,1.0,,single_enemy,True,True,,Demonologist,,False,Corruption; Corruption II,Fire spells detonate Corruption around the target and may spread it.
Contract Killer,ContractKiller,Skills,Skill,Power Up,,0,,1.0,,single_enemy,True,True,,Demonologist,,False,Call Contract,Soul Gem contracts gain 25% more favor and bargain taint.
Controlled Corruption,ControlledCorruption,Skills,Skill,Power Up,,0,,1.0,,single_enemy,True,True,,Demonologist,,False,Call Contract,Reduce bargain taint gained from fiend contracts by 25%.
Conversion,Conversion,Skills,Skill,Class,,0,,1.0,,single_enemy,True,True,,Pathfinder,,False,,Passive: Elemental spell damage empowers the next melee critical strike.
Counter Charge,CounterCharge,Skills,Skill,Class,,0,,1.0,,single_enemy,True,True,,Spellblade,,False,,"When a spell damages you in combat, gain an Arcane or Elemental blade charge matching its category."
Countermelody,Countermelody,Skills,Skill,Defensive,,10,Mana,1.0,,self,False,True,,Troubadour,,False,,Raise a two-turn ward whose strength scales with current Crescendo without spending it.
Cover,Cover,Skills,Skill,Defensive,,0,,1.0,,single_enemy,True,True,,Beast Master,,False,,"You stand in the way in the face of attack, protecting your master from harm."
Cripple,Cripple,Skills,Skill,Offensive,,6,Mana,1.0,,single_enemy,False,True,,Footpad; Warrior,,False,,"Launch a less accurate attack against the target's main hand. On hit, reduce its melee damage based on damage dealt."
Critical Vigor,CriticalVigor,Skills,Skill,Class,,0,,1.0,,single_enemy,True,True,,Dragoon; Lancer,,False,,Critical weapon hits have a chance to restore health.
Cross Block,CrossBlock,Skills,Skill,Class,,0,,1.0,,single_enemy,True,True,,Weapon Master,,False,,Passive: Cross two weapons to block attacks. A complete block can disarm the attacker.
Crush,Crush,Skills,Skill,Offensive,,25,Mana,1.0,,single_enemy,False,True,,,Balor; Golem; Iron Golem; Maelephant; The Devil; Warforged,False,,Take the enemy into your clutches and attempt to squeeze the life from them.
Crushing Blow,CrushingBlow,Skills,Skill,Physical,,25,Mana,3.0,,single_enemy,False,True,,,Treant; Wendigo,False,,A devastating overhead strike that takes time to wind up but deals massive damage.
Crushing Vengeance,CrushingVengeance,Skills,Skill,Class,,0,,1.0,,single_enemy,True,True,,Stalwart Defender,,False,,Increase every Ironwall Revenge strike and make each debilitate its target.
Curtain Guard,CurtainGuard,Skills,Skill,Defensive,,7,Mana,1.0,,self,False,True,,Bard,,False,,Raise Defense and Magic Defense for three turns without ending the active song.
Cut and Run,CutAndRun,Skills,Skill,Offensive,,7,Mana,1.0,,single_enemy,False,True,,Rogue; Thief,,False,,Strike for normal weapon damage; a hit raises Speed for two turns.
Cutthroat,Cutthroat,Skills,Skill,Passive,,0,,1.0,,single_enemy,True,True,,Assassin,,False,,Passive: Critical Backstab attacks have a chance to kill instantly.
Dance of the Dead,DanceOfTheDead,Skills,Skill,Power Up,,0,,1.0,,single_enemy,True,True,,Demonologist,,False,Doom,Enemies killed by Doom return as temporary undead allies.
Dazed or Confused,DazedOrConfused,Skills,Skill,,,0,,1.0,,single_enemy,True,True,,Priest,Wayward Priest,False,,Holy spells may stun the target for two turns or leave it confused.
Death Becomes Us,DeathBecomesUs,Skills,Skill,Power Up,,0,,1.0,,single_enemy,True,True,,Shadowcaster,,False,Desoul,"Desoul kills darken the dungeon, costing unsighted enemies initiative and increasing all Shadow damage."
Death Mark,DeathMark,Skills,Skill,Class,,0,,1.0,,single_enemy,True,True,,Assassin,,False,,Setup attacks mark foes and grant Deathblow to spend those marks.
Death Sentence,DeathSentence,Skills,Skill,Death,,50,Mana,1.0,,single_enemy,False,True,,Ninja,,False,,"Death Mark Finisher: strike once, then test Death resistance for execution."
Deathblow,Deathblow,Skills,Skill,Offensive,,15,Mana,1.0,,single_enemy,False,True,,,,False,,"Death Mark Finisher: spend all marks on one accurate, critical strike."
Deductive Strike,DeductiveStrike,Skills,Skill,Offensive,,8,Mana,1.0,,single_enemy,False,True,,Seeker,,False,,"Strike for 110% weapon damage, rising to 135% against a Weakness Brief target."
Defensive Regen,DefensiveRegen,Skills,Skill,Defensive,,0,,1.0,,single_enemy,True,True,,Healer; Priest,,False,,You recover best when holding a defensive line; Regen is increased when defending.
Defensive Release,DefensiveRelease,Skills,Skill,Class,,0,,1.0,,single_enemy,True,True,,Knight Enchanter,,False,,"Replaces Defend. Each use increases the next Weave Release by 25%, stacking up to three times; releasing consumes all stacks."
Delayed Reaction,DelayedReaction,Skills,Skill,Class,,0,,1.0,,single_enemy,True,True,,Healer,,False,,Passive: Critical damage may be spread over three turns.
Destroy Metal,DestroyMetal,Skills,Skill,Offensive,,27,Mana,1.0,,single_enemy,False,True,,,Steel Predator,False,,Target metal items and destroy them.
Detonate,Detonate,Skills,Skill,Offensive,,0,,1.0,,single_enemy,False,True,,,,False,,Systems are failing and retreat is not an option. Protocol states the prime directive is destruction of the enemy by any means necessary. Self-destruct sequence initiated.
Detonation Cascade,DetonationCascade,Skills,Skill,Power Up,,0,,1.0,,single_enemy,True,True,,Wizard,,False,Kinetic Explosion,Kinetic Explosion detonates scattered Arcane crystal shards into smaller explosions.
Devastating Throw,DevastatingThrow,Skills,Skill,Offensive,,15,Mana,1.0,,single_enemy,False,True,,Weapon Master,,False,,"Throw your main-hand weapon at the enemy for massive damage, disarming yourself afterward."
Devotional Rebuke,DevotionalRebuke,Skills,Skill,Offensive,,8,Mana,1.0,,single_enemy,False,True,,Cleric; Hierophant; Templar,,False,,Strike for normal weapon damage and add a Wisdom-scaled Holy rebuke.
Devour,Devour,Skills,Skill,Offensive,,35,Mana,1.0,,single_enemy,False,True,,,,False,,"The sandworm swallows its prey whole, crushing them repeatedly before spitting them back out."
Dim Mak,DimMak,Skills,Skill,Class,,18,Mana,1.0,,single_enemy,False,True,,Master Monk,,True,,"Master Monk finisher requiring full Ki and 18 MP. Strike at 2.10 power with an empty hand, fist, or staff, then contest Death or Stun on a surviving hit."
Dirty Trick,DirtyTrick,Skills,Skill,Offensive,,8,Mana,1.0,,single_enemy,False,True,,Rogue,,False,,Strike for 80% weapon damage and reduce Attack and Defense on hit.
Disarm,Disarm,Skills,Skill,Defensive,,4,Mana,1.0,,single_enemy,False,True,,Footpad; Warrior,Bandit; Dark Knight; Dragonkin; False-Ledger Broker; Gnoll; Minotaur; Panther; Warrior,False,,"Surprise the enemy by attacking their weapon, knocking it out of their grasp. Disarmed characters have lower chance to hit and can't use certain abilities."
Disarm Traps,DisarmTraps,Skills,Skill,Class,,0,,1.0,,single_enemy,True,False,,Rogue,,False,,"After Find Traps stops you, approach again to attempt a DEX- and depth-based disarm. Lockpick tools and training improve the chance."
Disembowel,Disembowel,Skills,Skill,Offensive,,12,Mana,1.0,,single_enemy,False,True,,Assassin,,False,,Death Mark Setup: slash with both weapons and open a bleeding wound.
Dishearten,Dishearten,Skills,Skill,Defensive,,5,Mana,1.0,,single_enemy,False,True,,Warrior,Giant,False,,"Shout at an enemy, reducing the melee damage they deal by 25% for three turns."
Dispel Slash,DispelSlash,Skills,Skill,Enhance,,20,Mana,1.0,,single_enemy,False,True,,Knight Enchanter,,False,,A strike that dispels all magical effects on the target.
Disruption,Disruption,Skills,Skill,Offensive,,10,Mana,1.0,,single_enemy,False,True,,Assassin; Footpad,,False,,Attack a charging target to interrupt its spell; a critical hit also Silences it for 2 turns.
Distract,Distract,Skills,Skill,Control,,8,Mana,1.0,,single_enemy,False,True,,Assassin,,False,,Create a diversion that costs the target two turns; attacking restores its focus.
Divine Aegis,DivineAegis,Skills,Skill,Power Up,,20,Mana,1.0,,self,False,True,,,,True,,Create a holy shield that absorbs some incoming damage for a limited time.
Divine Wind,DivineWind,Skills,Skill,Power Up,,0,,1.0,,single_enemy,True,True,,Wizard,,False,,"Call upon Fujin to lift grounded enemies or crash flying enemies to the ground, leaving them prone."
Do-over,DoOver,Skills,Skill,Class,,0,,1.0,,single_enemy,True,True,,Footpad,,False,,Passive: A missed attack has a chance to be rerolled once per battle.
Double Payback,DoublePayback,Skills,Skill,Class,,0,,1.0,,single_enemy,True,True,,Stalwart Defender,,False,,Ironwall Revenge makes one additional attack.
Double Strike,DoubleStrike,Skills,Skill,Offensive,,14,Mana,1.0,,single_enemy,False,True,,Footpad; Grandmaster of Arms; Knight Enchanter; Monk; Paladin; Sentinel; Shaman; Spellblade; Templar; Warrior; Weapon Master,Antlion; Clannfear; Cockatrice; Copycat; Displacer Beast; Harlequin; Hydra; Incubus; Naga; Pit Viper; Puppet; Shadow Serpent; Trickster; Wendigo; Wind Myrmidon,False,,Strike the enemy twice in rapid succession.
Doublecast,Doublecast,Skills,Skill,Offensive,,10,Mana,1.0,,single_enemy,False,True,,Archbishop; Diviner; Sorcerer,Domingo; Red Dragon,False,,Cast multiple spells in a single turn.
Draconic Onslaught,DraconicOnslaught,Skills,Skill,Power Up,,0,,1.0,,single_enemy,True,True,,,,True,,"The power up unleashed the dragon within, a power that continues to grow. With each successive hit, your attack and defense increase. A miss will reset this buff."
Dragon Breath (Fire),DragonBreathFire,Skills,Skill,Fire,,0,,1.0,,single_enemy,False,True,,,Pseudodragon; Red Dragon; Wyrm,False,,A devastating breath of fire that incinerates everything in its path
Dragon Breath (Water),DragonBreathWater,Skills,Skill,Water,,0,,1.0,,single_enemy,False,True,,,Hydra,False,,A torrential blast of water erupts from multiple maws
Dragon Breath (Wind),DragonBreathWind,Skills,Skill,Wind,,0,,1.0,,single_enemy,False,True,,,Wyvern,False,,A powerful gale of cutting wind is exhaled with devastating force
Dragon Dive,DragonDive,Skills,Skill,Offensive,,18,Mana,1.0,,single_enemy,False,True,,Dragoon,,False,,Consume all Aerial Tempo in a decisive aerial strike. Each stack increases weapon damage and accuracy.
Dragon Fang,DragonFang,Skills,Skill,Offensive,,15,Mana,1.0,,single_enemy,False,True,,Lycan,,False,,"Werewolf and Dragon Essence only: strike, then deal additional Fire damage."
Dragon Soul,DragonSoul,Skills,Skill,Class,,0,,1.0,,single_enemy,True,True,,Dragoon; Lancer,,False,,Lethal damage has a chance to leave you at 1 HP and grant the next turn.
Dragonheart,Dragonheart,Skills,Skill,Class,,0,,1.0,,single_enemy,True,True,,Dragoon,,False,,Improves Dragon Soul's trigger chance and restores 25% maximum HP.
