Name,Class ID,Type,Floors,Locations,Funhouse,Boss,HP Min,HP Max,MP Min,MP Max,Experience Min,Experience Max,Strength Min,Strength Max,Intelligence Min,Intelligence Max,Wisdom Min,Wisdom Max,Constitution Min,Constitution Max,Charisma Min,Charisma Max,Dexterity Min,Dexterity Max,Attack Min,Attack Max,Defense Min,Defense Max,Magic Min,Magic Max,Magic Defense Min,Magic Defense Max,Promotion Level,Spells,Skills,Equipment,Drops,Status Immunities,Fire Resistance,Ice Resistance,Electric Resistance,Water Resistance,Earth Resistance,Wind Resistance,Shadow Resistance,Holy Resistance,Poison Resistance,Physical Resistance
Invisible Stalker,InvisibleStalker,Elemental,3; 4,,False,False,39,60,73,73,230,330,19,19,13,13,16,16,14,14,18,18,29,29,21,21,27,27,22,22,22,22,3,,Backstab; Kidney Punch; Parry; Piercing Strike; Smoke Screen,Weapon: Invisible Blade; OffHand: Invisible Blade,,Poison,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25
Night Hag,NightHag,Fey,3; 4,,False,False,42,60,127,127,215,312,16,16,22,22,26,26,12,12,14,14,19,19,20,20,26,26,41,41,40,40,3,Enfeeble; Magic Missile; Sleep,Nightmare Fuel,Weapon: Kris; Armor: Silver Cloak; OffHand: Infernal Grimoire,Hemlock Root,,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25
Ogre,Ogre,Monster,3,,False,False,60,70,58,58,215,295,24,24,18,18,14,14,20,20,10,10,14,14,28,28,27,27,30,30,31,31,3,Dispel; Magic Missile,Piercing Strike,Weapon: Spike Maul; Armor: Cuirboulli,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Owlbear,Owlbear,Monster,3; 4,,False,False,82,100,93,93,240,335,23,23,18,18,22,22,24,24,12,12,16,16,26,26,29,29,34,34,32,32,3,Regen; Shock; Wind Speed,,Weapon: Claw; Armor: Animal Hide; OffHand: Claw,Feather; Leather,,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0
Pit Viper,PitViper,Animal,3,,False,False,54,66,36,36,215,290,17,17,6,6,8,8,16,16,10,10,18,18,25,25,24,24,12,12,19,19,3,,Double Strike,Weapon: Snake Fang; Armor: Snake Scales,Mystery Meat; Snake Skin; Viper Venom,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
Treant,Treant,Fey,3,,False,False,72,98,81,81,235,320,26,26,16,16,21,21,20,20,12,12,16,16,30,30,35,35,37,37,43,43,3,Regen,Crushing Blow; Throw Rock,,Cursed Hops; Acorn; Vine Seed,Poison,-1.0,0.0,0.0,1.5,0.0,0.0,0.25,0.0,1.0,0.25
Troll,Troll,Humanoid,3; 4,,False,False,74,89,30,30,225,310,24,24,10,10,8,8,24,24,12,12,15,15,25,25,24,24,22,22,21,21,3,,Mortal Strike,Weapon: Double Axe; Armor: Cuirboulli,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
War Turtle,WarTurtle,Animal,3,,False,False,96,114,64,64,225,310,23,23,9,9,17,17,30,30,8,8,7,7,25,25,38,38,14,14,28,28,3,Reflect,Headbutt; Retract,Weapon: Bite; Armor: Animal Hide,Mystery Meat,,0.0,0.0,-0.5,0.75,0.0,0.0,0.0,0.0,0.25,0.5
Wayward Priest,WaywardPriest,Humanoid,3,,False,False,65,81,150,150,245,335,11,11,25,25,29,29,17,17,25,25,13,13,14,14,22,22,36,36,34,34,3,Cleanse; Heal II; Holy II; Resist Shadow,Dazed or Confused,Weapon: Holy Staff; Armor: Wizard's Robe,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,0.25,0.0,0.0
Werewolf,Werewolf,Monster,3,,False,False,75,95,95,95,220,300,24,24,10,10,10,10,20,20,14,14,20,20,28,28,31,31,21,21,20,20,3,,Howl; True Strike,Weapon: Claw; Armor: Animal Hide; OffHand: Claw,Leather,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
