Name,Class ID,Type,Floors,Locations,Funhouse,Boss,HP Min,HP Max,MP Min,MP Max,Experience Min,Experience Max,Strength Min,Strength Max,Intelligence Min,Intelligence Max,Wisdom Min,Wisdom Max,Constitution Min,Constitution Max,Charisma Min,Charisma Max,Dexterity Min,Dexterity Max,Attack Min,Attack Max,Defense Min,Defense Max,Magic Min,Magic Max,Magic Defense Min,Magic Defense Max,Promotion Level,Spells,Skills,Equipment,Drops,Status Immunities,Fire Resistance,Ice Resistance,Electric Resistance,Water Resistance,Earth Resistance,Wind Resistance,Shadow Resistance,Holy Resistance,Poison Resistance,Physical Resistance
Panther,Panther,Animal,1; 2,,False,False,20,24,33,33,19,28,10,10,8,8,8,8,10,10,10,10,13,13,13,13,10,10,8,8,7,7,1,,Backstab; Disarm; Kidney Punch,Weapon: Claw; Armor: Animal Hide; OffHand: Claw,Mystery Meat; Leather,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
Red Slime,RedSlime,Slime,2,,False,False,30,44,50,50,43,150,10,10,20,20,20,20,12,12,10,10,5,5,7,7,13,13,24,24,150,150,2,Enfeeble; Firebolt,,,Mana Potion; Fungus Spore,,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.0,-0.5
Satyr,Satyr,Fey,1; 2,,False,False,28,33,37,37,28,44,11,11,12,12,10,10,11,11,12,12,12,12,13,13,14,14,12,12,18,18,1,,Stomp,Weapon: Rapier; Armor: Padded Armor,Leather,,0.1,0.1,0.1,0.1,0.1,0.1,0.25,0.0,0.1,0.1
Steel Predator,SteelPredator,Construct,2,,False,False,41,47,49,49,85,129,17,17,9,9,12,12,14,14,12,12,19,19,18,18,21,21,11,11,16,16,2,Silence,Charge; Destroy Metal,Weapon: Claw; Armor: Metal Plating; OffHand: Claw,Scrap Metal,Poison; Death; Stone,0.5,0.5,0.5,-0.75,0.0,0.0,0.0,0.0,1.0,0.5
Twisted Dwarf,TwistedDwarf,Humanoid,1; 2,,False,False,27,31,18,18,25,44,12,12,8,8,10,10,12,12,8,8,10,10,14,14,14,14,11,11,11,11,1,,Piercing Strike,Weapon: Mattock; Armor: Hide Armor,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vampire,Vampire,Undead,2,,False,False,35,43,44,44,50,90,16,16,14,14,12,12,15,15,14,14,14,14,13,13,17,17,21,21,18,18,2,Lightning; Silence,Health Drain; Shapeshift,Weapon: Ironshod Staff; OffHand: Bite,,Death,-0.25,0.0,0.0,0.0,0.0,0.0,0.5,-0.75,0.5,0.0
Vampire Bat,VampireBat,Animal,2,,False,False,30,38,46,46,50,90,12,12,16,16,15,15,10,10,14,14,18,18,10,10,11,11,14,14,11,11,2,,Health Drain; Shapeshift,Weapon: Bite,Mystery Meat,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Warrior,Warrior,Humanoid,2,,False,False,34,43,35,35,65,110,14,14,10,10,8,8,12,12,10,10,10,10,14,14,14,14,14,14,12,12,2,,Disarm; Parry; Piercing Strike,Weapon: Jian; Armor: Chain Mail,Scrap Metal,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wererat,Wererat,Monster,2,,False,False,25,28,10,10,57,94,14,14,6,6,12,12,11,11,8,8,18,18,11,11,14,14,7,7,11,11,2,,,Weapon: Bite; Armor: Animal Hide; OffHand: Claw,Rat Tail; Leather,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xorn,Xorn,Elemental,2,,False,False,44,50,51,51,74,121,16,16,11,11,12,12,17,17,10,10,12,12,16,16,19,19,17,17,17,17,2,Tremor,ConsumeItem,Weapon: Claw; OffHand: Claw,Scrap Metal; Chiryu Koma,Poison; Stone,0.0,0.0,0.5,-0.5,1.0,0.0,0.0,0.0,1.0,0.25
