Name,Class ID,Type,Floors,Locations,Funhouse,Boss,HP Min,HP Max,MP Min,MP Max,Experience Min,Experience Max,Strength Min,Strength Max,Intelligence Min,Intelligence Max,Wisdom Min,Wisdom Max,Constitution Min,Constitution Max,Charisma Min,Charisma Max,Dexterity Min,Dexterity Max,Attack Min,Attack Max,Defense Min,Defense Max,Magic Min,Magic Max,Magic Defense Min,Magic Defense Max,Promotion Level,Spells,Skills,Equipment,Drops,Status Immunities,Fire Resistance,Ice Resistance,Electric Resistance,Water Resistance,Earth Resistance,Wind Resistance,Shadow Resistance,Holy Resistance,Poison Resistance,Physical Resistance
Gargoyle,Gargoyle,Elemental,4,,False,False,73,93,30,30,410,530,26,26,10,10,12,12,18,18,15,15,21,21,33,33,36,36,32,32,37,37,4,Blinding Fog,Piercing Strike,Weapon: Claw; Armor: Stone Armor; OffHand: Claw,,Poison; Stone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.25
Giant,Giant,Humanoid,4,,False,False,90,110,28,28,235,325,30,30,8,8,10,10,28,28,12,12,12,12,30,30,30,30,12,12,20,20,4,,Charge; Dishearten; Mortal Strike,Weapon: Spike Maul; Armor: Cuirboulli,,,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.2,-0.5,0.5,0.25
Griffin,Griffin,Monster,4,,False,False,93,123,131,131,440,650,26,26,21,21,18,18,18,18,16,16,18,18,37,37,39,39,41,41,37,37,4,Hurricane,Screech,Weapon: Lion Paw; Armor: Animal Hide; OffHand: Claw,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
Ice Myrmidon,IceMyrmidon,Elemental,4; 5,,False,False,93,143,93,93,520,800,26,26,18,18,16,16,18,18,10,10,14,14,35,35,36,36,38,38,34,34,4,Ice Lance,Shield Slam; True Strike,Weapon: Elemental Blade; Armor: Plate Mail; OffHand: Kite Shield,Elemental Mote; Scrap Metal,Poison,-0.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1,0.25
Invisible Stalker,InvisibleStalker,Elemental,3; 4,,False,False,39,60,73,73,230,330,19,19,13,13,16,16,14,14,18,18,29,29,21,21,27,27,22,22,22,22,3,,Backstab; Kidney Punch; Parry; Piercing Strike; Smoke Screen,Weapon: Invisible Blade; OffHand: Invisible Blade,,Poison,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25
Necromancer,Necromancer,Humanoid,4,,False,False,54,79,172,172,415,540,14,14,22,22,18,18,14,14,12,12,13,13,26,26,27,27,50,50,45,45,4,Curse of Polydipsia; Enfeeble; Raise Dead; Shadow Bolt,,Weapon: Rune Staff; Armor: Gold Cloak,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Night Hag,NightHag,Fey,3; 4,,False,False,42,60,127,127,215,312,16,16,22,22,26,26,12,12,14,14,19,19,20,20,26,26,41,41,40,40,3,Enfeeble; Magic Missile; Sleep,Nightmare Fuel,Weapon: Kris; Armor: Silver Cloak; OffHand: Infernal Grimoire,Hemlock Root,,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25
Owlbear,Owlbear,Monster,3; 4,,False,False,82,100,93,93,240,335,23,23,18,18,22,22,24,24,12,12,16,16,26,26,29,29,34,34,32,32,3,Regen; Shock; Wind Speed,,Weapon: Claw; Armor: Animal Hide; OffHand: Claw,Feather; Leather,,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0
Storm Myrmidon,StormMyrmidon,Elemental,4; 5,,False,False,93,143,93,93,520,800,26,26,18,18,16,16,18,18,10,10,14,14,35,35,36,36,38,38,34,34,4,Shock,Piercing Strike; Shield Slam,Weapon: Elemental Blade; Armor: Plate Mail; OffHand: Kite Shield,Elemental Mote; Scrap Metal,Poison,0.0,0.0,1.5,-0.5,0.0,0.0,0.0,0.0,1,0.25
Troll,Troll,Humanoid,3; 4,,False,False,74,89,30,30,225,310,24,24,10,10,8,8,24,24,12,12,15,15,25,25,24,24,22,22,21,21,3,,Mortal Strike,Weapon: Double Axe; Armor: Cuirboulli,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Water Myrmidon,WaterMyrmidon,Elemental,4; 5,,False,False,93,143,93,93,520,800,26,26,18,18,16,16,18,18,10,10,14,14,35,35,36,36,38,38,34,34,4,Water Jet,Parry; Shield Slam,Weapon: Elemental Blade; Armor: Plate Mail; OffHand: Kite Shield,Elemental Mote; Scrap Metal,Poison,0.0,0.0,-0.5,1.5,0.0,0.0,0.0,0.0,1,0.25
Wind Myrmidon,WindMyrmidon,Elemental,4; 5,,False,False,93,143,93,93,520,800,26,26,18,18,16,16,18,18,10,10,14,14,35,35,36,36,38,38,34,34,4,Gust,Double Strike; Shield Slam,Weapon: Elemental Blade; Armor: Plate Mail; OffHand: Kite Shield,Elemental Mote; Scrap Metal,Poison,0.0,0.0,0.0,0.0,-0.5,1.5,0.0,0.0,1,0.25
