Name,Class ID,Type,Floors,Locations,Funhouse,Boss,HP Min,HP Max,MP Min,MP Max,Experience Min,Experience Max,Strength Min,Strength Max,Intelligence Min,Intelligence Max,Wisdom Min,Wisdom Max,Constitution Min,Constitution Max,Charisma Min,Charisma Max,Dexterity Min,Dexterity Max,Attack Min,Attack Max,Defense Min,Defense Max,Magic Min,Magic Max,Magic Defense Min,Magic Defense Max,Promotion Level,Spells,Skills,Equipment,Drops,Status Immunities,Fire Resistance,Ice Resistance,Electric Resistance,Water Resistance,Earth Resistance,Wind Resistance,Shadow Resistance,Holy Resistance,Poison Resistance,Physical Resistance
Basilisk,Basilisk,Monster,5,,False,False,247,352,146,146,930,1200,29,29,26,26,30,30,27,27,17,17,20,20,49,49,46,46,51,51,66,66,5,Petrify; Poison Breath,Bad Breath; Slam,Weapon: Snake Fang; Armor: Snake Scales; OffHand: Snake Fang,Lizard Venom,Death; Poison; Stone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
Battle Toad,BattleToad,Animal,1; 2,,False,False,25,29,29,29,30,48,10,10,9,9,10,10,10,10,8,8,15,15,11,11,10,10,12,12,9,9,1,,Jump; Kidney Punch,Weapon: Brass Knuckles; OffHand: Brass Knuckles,Mystery Meat,,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0
Behemoth,Behemoth,Aberration,5; 6,,False,False,230,330,125,125,920,1250,38,38,25,25,20,20,30,30,18,18,25,25,58,58,51,51,57,57,53,53,5,Berserk; Holy; Regen,Counterspell; True Strike,Weapon: Lion Paw; Armor: Animal Hide; OffHand: Lion Paw,,Death; Stone,1.0,0.0,0.75,0.0,0.0,0.0,0.0,0.75,0.75,0.5
Beholder,Beholder,Aberration,5; 6,,False,False,178,328,140,140,800,1200,25,25,40,40,35,35,28,28,20,20,20,20,47,47,45,45,60,60,55,55,5,Disintegrate; Dispel; Magic Missile; Terrify,Mana Drain,Weapon: Gaze,,Death,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black Slime,BlackSlime,Slime,3,,False,False,63,105,105,105,185,360,13,13,25,25,30,30,15,15,12,12,6,6,12,12,24,24,35,35,200,200,3,Corruption; Curse of Umbra; Shadow Bolt; Stupefy,,,Fungus Spore,,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.0,-0.5
Brain Gorger,BrainGorger,Aberration,5; 6,,False,False,341,451,290,290,1050,1310,27,27,40,40,35,35,31,31,25,25,36,36,62,62,47,47,70,70,67,67,5,Terrify; Weaken Mind,Brain Gorge; Mana Shield,Weapon: Claw; OffHand: Claw,,Poison,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,1.0,0.0
Brown Slime,BrownSlime,Slime,4,,False,False,85,127,120,120,390,660,17,17,35,35,40,40,15,15,10,10,8,8,22,22,32,32,55,55,300,300,4,Enfeeble; Mudslide,,,Fungus Spore,,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.0,-0.5
Cambion Acolyte,CambionAcolyte,Fiend,,,False,False,928,928,534,534,0,0,24,24,34,34,36,36,28,28,22,22,26,26,55,55,60,60,80,80,75,75,99,Boost; Regen; Shell,,Weapon: Rune Staff; Armor: Studded Leather,,Death; Stone,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.25,0.0,0.0
Cerberus,Cerberus,Fiend,,Cerberus Boss Room,False,True,2560,2560,528,528,120000,120000,65,65,28,28,45,45,60,60,40,40,38,38,151,151,142,142,108,108,132,132,6,Regen; Shell,Trip; Triple Strike,Weapon: bites; Armor: Cerberus Hide; OffHand: claws,Item,Death; Stone,1,-0.25,0.5,0.0,0.0,0.0,0.25,0.25,0.0,0.5
Chimera,Chimera,Monster,4,,False,False,80,115,154,154,430,580,26,26,14,14,16,16,20,20,14,14,14,14,38,38,36,36,46,46,47,47,4,Dispel; Molten Rock,True Strike,Weapon: Lion Paw; Armor: Animal Hide; OffHand: Lion Paw,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
Circe,Circe,Humanoid,,Circe Boss Room,False,True,831,831,476,476,40000,40000,35,35,51,51,44,44,31,31,48,48,36,36,92,92,77,77,101,101,99,99,5,Enfeeble; Hex; Magic Missile; Mirror Image; Prismatic Cataclysm; Sleep,Mana Shield,Weapon: Khatvanga; Armor: Robes of Merlin; OffHand: Infernal Grimoire,Item,Death; Stone; Sleep; Disarm,0.25,0.25,0.25,0.25,0.25,0.25,0.5,-0.25,0.5,0.1
Clannfear,Clannfear,Fiend,3,,False,False,44,54,65,65,77,130,19,19,10,10,12,12,16,16,12,12,16,16,15,15,22,22,14,14,16,16,2,,Charge; Double Strike; Trip,Weapon: Demon Claw; Armor: Animal Hide; OffHand: Demon Claw,,Death,0.75,0.0,-0.5,0.0,0.0,0.0,0.25,-0.25,0.0,0.0
Cockatrice,Cockatrice,Monster,,Cockatrice Boss Room,False,True,596,596,115,115,3500,3500,30,30,16,16,15,15,16,16,16,16,22,22,53,53,48,48,71,71,62,62,3,Petrify,Double Strike; Screech,Weapon: Claw; OffHand: Dragon Tail,Pendant; Old Key; Feather,Death; Stone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Copycat,Copycat,Humanoid,,,True,False,170,308,130,268,1800,3200,10,28,10,28,10,28,10,28,10,28,10,28,22,44,22,44,22,44,22,44,4,Mirror Image; Silence,Double Strike; Gold Toss; Smoke Screen,Weapon: Kris; Armor: Cuirboulli,,,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
Cyborg,Cyborg,Construct,4,,False,False,108,138,93,93,490,700,28,28,13,13,10,10,18,18,10,10,14,14,45,45,43,43,39,39,27,27,4,Shock,,Weapon: Laser; Armor: Metal Plating; OffHand: Force Field,Scrap Metal,Poison; Death; Stone,0.0,0.0,1.25,-0.75,0.0,0.0,0.0,0.0,1.0,0.5
Dark Knight,DarkKnight,Fiend,4,,False,False,106,131,75,75,500,750,28,28,15,15,12,12,21,21,14,14,17,17,37,37,45,45,30,30,29,29,4,Enhance Blade,Disarm; Shield Block; Shield Slam,Weapon: Flamberge; Armor: Plate Mail; OffHand: Kite Shield,Scrap Metal,Death,0.0,0.0,0.0,0.0,0.0,0.0,0.25,-0.25,0.0,0.0
Direbear,Direbear,Animal,3,,False,False,79,94,36,36,210,310,24,24,6,6,6,6,24,24,12,12,17,17,28,28,28,28,13,13,15,15,3,,Charge; Piercing Strike,Weapon: Bear Claw; Armor: Animal Hide; OffHand: Bear Claw,Mystery Meat; Leather,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
Direbear,Direbear2,Animal,,,False,False,79,94,36,36,210,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,Charge; Piercing Strike,Weapon: Bear Claw; Armor: Animal Hide; OffHand: Bear Claw,Mystery Meat; Leather,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
Direwolf,Direwolf,Animal,2,,False,False,30,34,15,15,60,100,17,17,7,7,6,6,14,14,10,10,16,16,17,17,16,16,9,9,8,8,2,,Howl; Trip,Weapon: Claw; Armor: Animal Hide; OffHand: Claw,Mystery Meat; Leather,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
Direwolf,Direwolf2,Animal,,,False,False,30,34,15,15,60,100,28,28,10,10,9,9,20,20,12,12,20,20,36,36,38,38,24,24,33,33,2,,Howl; Jump; Trip,Weapon: Claw; Armor: Animal Hide; OffHand: Claw,Mystery Meat; Leather,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
Disciple,Disciple,Humanoid,3,,False,False,56,66,87,87,210,290,16,16,17,17,15,15,16,16,12,12,16,16,14,14,20,20,38,38,36,36,3,Boost; Enfeeble; Firebolt; Ice Lance; Shock,,Weapon: Serpent Staff; Armor: Silver Cloak,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Displacer Beast,DisplacerBeast,Fey,4; 5,,False,False,104,139,111,111,500,775,24,24,11,11,14,14,24,24,14,14,26,26,32,32,30,30,29,29,31,31,4,,Double Strike; Smoke Screen,Weapon: Claw; Armor: Animal Hide; OffHand: Tentacle,,,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0
Domingo,Domingo,Aberration,,Domingo Boss Room,False,True,1545,1545,1049,1049,40000,40000,20,20,50,50,40,40,45,45,60,60,50,50,92,92,123,123,135,135,119,119,5,Boost; Desoul; Ice Block; Photon Sphere,Doublecast; Mana Shield,,,Death; Stone,0.25,0.25,0.25,0.25,1.0,-0.25,0.25,0.25,0.25,0
Dragonkin,Dragonkin,Dragon,4,,False,False,100,135,100,100,450,680,26,26,10,10,18,18,20,20,18,18,19,19,39,39,34,34,28,28,42,42,4,,Charge; Disarm; Goad,Weapon: Halberd; Armor: Breastplate; OffHand: Kite Shield,Dragon's Tear; Scrap Metal,Death; Stone,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.1
Drow Assassin,DrowAssassin,Humanoid,4,,False,False,79,99,91,91,480,680,22,22,16,16,15,15,14,14,22,22,28,28,32,32,30,30,33,33,30,30,4,,Backstab; Kidney Punch; Mug; Parry; Piercing Strike; Shadow Strike; Smoke Screen,Weapon: Rondel; Armor: Studded Leather; OffHand: Rondel,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Earth Myrmidon,EarthMyrmidon,Elemental,4; 5,,False,False,93,143,93,93,520,800,26,26,18,18,16,16,18,18,10,10,14,14,35,35,36,36,38,38,34,34,4,Tremor,Goad; Shield Block; Shield Slam,Weapon: Elemental Blade; Armor: Plate Mail; OffHand: Kite Shield,Elemental Mote; Scrap Metal,Poison,0.0,0.0,0.0,0.0,1.5,-0.5,0.0,0.0,1,0.25
Electric Bat,ElectricBat,Animal,1,,False,False,10,14,26,26,17,31,6,6,11,11,7,7,5,5,12,12,22,22,10,10,6,6,14,14,11,11,1,Shock; Silence,,Weapon: Bite,Mystery Meat,,0.0,0.0,0.25,-0.25,0.0,0.0,0.0,0.0,0.0,0.0
Evil Crusader,EvilCrusader,Humanoid,3,,False,False,71,86,68,68,240,325,21,21,18,18,17,17,26,26,14,14,14,14,24,24,34,34,23,23,27,27,3,Bless; Smite,Goad; Shield Block; Shield Slam,Weapon: Pernach; Armor: Splint Mail; OffHand: Kite Shield,Scrap Metal,,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.5,0.0,0.0
False-Ledger Broker,GuildInquestBoss,Humanoid,,,False,True,90,90,40,40,8,18,30,30,24,24,28,28,28,28,20,20,24,24,44,44,48,48,38,38,46,46,0,,Backstab; Disarm; Kidney Punch; Steal,Weapon: Jian; Armor: Leather Armor,Thieves Guild Signet,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fire Myrmidon,FireMyrmidon,Elemental,4; 5,,False,False,93,143,93,93,520,800,26,26,18,18,16,16,18,18,10,10,14,14,35,35,36,36,38,38,34,34,4,Scorch,Shield Slam,Weapon: Elemental Blade; Armor: Plate Mail; OffHand: Kite Shield,Elemental Mote; Scrap Metal,Poison,1.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,1,0.25
Flame Wisp,FlameWisp,Elemental,,Fire Path,False,False,129,169,150,150,850,1150,8,8,30,30,22,22,14,14,18,18,28,28,38,38,42,42,66,66,54,54,5,Fireball; Scorch,,,Elemental Mote,Poison,1.5,-0.5,0.0,-0.5,0.0,0.0,0.0,0.0,1.0,0.25
Fuath,Fuath,Monster,,Underground Spring,False,False,354,354,161,161,3000,3000,19,19,14,14,18,18,14,14,11,11,15,15,65,65,46,46,75,75,82,82,3,Sleep; Water Jet,Screech,Weapon: Pincers; OffHand: Pincers,,,0.0,0.0,-0.75,1.25,0.0,0.0,0.25,-0.25,0.0,0.0
Gargoyle,Gargoyle,Elemental,4,,False,False,73,93,30,30,410,530,26,26,10,10,12,12,18,18,15,15,21,21,33,33,36,36,32,32,37,37,4,Blinding Fog,Piercing Strike,Weapon: Claw; Armor: Stone Armor; OffHand: Claw,,Poison; Stone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.25
Ghoul,Ghoul,Undead,3,,False,False,66,84,60,60,210,290,25,25,10,10,8,8,24,24,11,11,12,12,26,26,28,28,16,16,17,17,3,Disease Breath,,Weapon: Bite,,Death,-0.25,0.0,0.0,0.0,0.0,0.0,0.5,-0.75,0.5,0.0
Giant,Giant,Humanoid,4,,False,False,90,110,28,28,235,325,30,30,8,8,10,10,28,28,12,12,12,12,30,30,30,30,12,12,20,20,4,,Charge; Dishearten; Mortal Strike,Weapon: Spike Maul; Armor: Cuirboulli,,,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.2,-0.5,0.5,0.25
Giant Centipede,GiantCentipede,Animal,1,,False,False,16,21,7,7,13,24,10,10,4,4,6,6,8,8,8,8,12,12,10,10,9,9,5,5,7,7,1,,,Weapon: Pincers; Armor: Carapace,Mystery Meat,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
Giant Hornet,GiantHornet,Animal,1,,False,False,12,16,29,29,13,24,6,6,4,4,6,6,6,6,8,8,18,18,9,9,8,8,6,6,9,9,1,Berserk,,Weapon: Stinger,Mystery Meat,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Giant Owl,GiantOwl,Animal,2,,False,False,22,27,24,24,45,80,13,13,12,12,10,10,10,10,1,1,15,15,10,10,12,12,14,14,16,16,2,,Screech,Weapon: Claw; OffHand: Claw,Mystery Meat; Feather,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Giant Rat,GiantRat,Animal,0,,False,False,8,10,6,6,7,14,4,4,3,3,3,3,6,6,6,6,15,15,2,2,5,5,2,2,6,6,0,,,Weapon: Bite,Mystery Meat; Rat Tail,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Giant Scorpion,GiantScorpion,Animal,2,,False,False,25,30,7,7,65,105,14,14,5,5,10,10,12,12,10,10,9,9,16,16,18,18,9,9,15,15,2,,Piercing Strike,Weapon: Claw; Armor: Carapace; OffHand: Claw,Mystery Meat; Scorpion Venom,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25
Giant Snake,GiantSnake,Animal,2,,False,False,32,40,7,7,60,100,15,15,5,5,6,6,14,14,10,10,16,16,16,16,15,15,8,8,11,11,2,,Slam,Weapon: Snake Fang; Armor: Snake Scales,Mystery Meat; Snake Skin; Snake Venom,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
Giant Spider,GiantSpider,Animal,1,,False,False,20,23,20,20,15,24,9,9,10,10,10,10,8,8,10,10,12,12,11,11,13,13,8,8,10,10,1,,Web,Weapon: Stinger; Armor: Carapace,Mystery Meat,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
Gnoll,Gnoll,Humanoid,2,,False,False,24,32,30,30,45,85,13,13,10,10,5,5,8,8,12,12,16,16,13,13,12,12,12,12,13,13,2,,Disarm,Weapon: Partisan; Armor: Padded Armor,Feather,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Goblin,Goblin,Humanoid,0,,False,False,11,15,10,10,7,16,7,7,5,5,2,2,8,8,12,12,8,8,2,2,6,6,5,5,7,7,0,,Goblin Punch; Gold Toss,Weapon: Rapier,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Goblin,Goblin2,Humanoid,,,False,False,11,15,10,10,7,16,22,22,16,16,10,10,17,17,19,19,14,14,35,35,18,18,12,12,22,22,0,Mirror Image,Goblin Punch; Gold Toss; Parry,Weapon: Jian; Armor: Leather Armor; OffHand: Baselard,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Golden Eagle,GoldenEagle,Animal,3,,False,False,57,67,35,35,230,320,19,19,15,15,15,15,17,17,15,15,25,25,23,23,22,22,25,25,26,26,3,,Screech,Weapon: Claw; OffHand: Claw,Mystery Meat; Feather; Bird Fat,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Golem,Golem,Construct,,Golem Boss Room,False,True,1235,1235,125,125,8000,8000,32,32,25,25,30,30,35,35,21,21,14,14,50,50,48,48,35,35,46,46,5,Enfeeble,Crush; Goad,Weapon: Laser; Armor: Stone Armor; OffHand: Laser,Power Core,Poison; Death; Stone,0.5,-0.25,0.5,-0.25,0.5,0.0,0.0,0.0,1.0,0.5
Green Slime,GreenSlime,Slime,0,,False,False,14,17,40,40,1,20,6,6,15,15,15,15,8,8,1,1,6,6,3,3,7,7,8,8,99,99,0,Enfeeble,Acid Spit,,Key; Fungus Spore,,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.0,-0.5
Griffin,Griffin,Monster,4,,False,False,93,123,131,131,440,650,26,26,21,21,18,18,18,18,16,16,18,18,37,37,39,39,41,41,37,37,4,Hurricane,Screech,Weapon: Lion Paw; Armor: Animal Hide; OffHand: Claw,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
Guild Cutpurse,GuildCutpurseBoss,Humanoid,,,False,True,90,90,40,40,8,18,32,32,14,14,14,14,26,26,26,26,34,34,50,50,42,42,30,30,38,38,0,,Backstab; Kidney Punch; Steal,Weapon: Jian; Armor: Leather Armor,Thieves Guild Signet,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guild Cutpurse,ThievesGuildTrialBoss,Humanoid,,,False,True,90,90,40,40,8,18,34,34,16,16,14,14,28,28,20,20,28,28,48,48,45,45,32,32,38,38,0,,Backstab; Kidney Punch; Steal,Weapon: Jian; Armor: Leather Armor,Thieves Guild Signet,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harlequin,Harlequin,Humanoid,,,True,False,160,286,70,166,1600,2600,10,26,10,26,10,26,10,26,10,26,14,34,26,50,22,42,22,42,22,42,4,Mirror Image; Silence,Double Strike; Gold Toss; Smoke Screen,Weapon: Kris; Armor: Cuirboulli,,,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
Harpy,Harpy,Monster,2,,False,False,32,39,36,36,65,115,18,18,13,13,13,13,14,14,14,14,23,23,12,12,15,15,18,18,14,14,2,Berserk,Screech,Weapon: Claw; OffHand: Claw,Feather,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydra,Hydra,Monster,5,,False,False,288,403,180,180,900,1150,37,37,30,30,26,26,28,28,24,24,22,22,60,60,51,51,52,52,53,53,5,Tsunami,Double Strike; Dragon Breath (Water),Weapon: Bite; Armor: Dragon Scales; OffHand: Dragon Tail,,Death; Stone,0.0,0.0,-1,1.5,0.0,0.0,0.0,0.0,0.75,0.25
Ice Myrmidon,IceMyrmidon,Elemental,4; 5,,False,False,93,143,93,93,520,800,26,26,18,18,16,16,18,18,10,10,14,14,35,35,36,36,38,38,34,34,4,Ice Lance,Shield Slam; True Strike,Weapon: Elemental Blade; Armor: Plate Mail; OffHand: Kite Shield,Elemental Mote; Scrap Metal,Poison,-0.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1,0.25
Imp,Imp,Fiend,1,,False,False,17,22,37,37,15,24,6,6,12,12,10,10,8,8,12,12,12,12,7,7,11,11,16,16,14,14,1,Corruption; Silence,,Weapon: Demon Claw,,Death,0.0,0.0,0.0,0.0,0.0,0.0,0.25,-0.25,0.0,0.0
Incubus,Incubus,Fiend,,Incubus Lair,False,True,1288,1288,358,358,22000,22000,26,26,38,38,34,34,38,38,46,46,40,40,74,74,80,80,84,84,86,86,5,Sleep; Terrify,Double Strike; Mana Drain,Weapon: Rondel; Armor: Studded Leather,Item,Death; Stone; Disarm,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.25,0.0,0.0
Invisible Stalker,InvisibleStalker,Elemental,3; 4,,False,False,39,60,73,73,230,330,19,19,13,13,16,16,14,14,18,18,29,29,21,21,27,27,22,22,22,22,3,,Backstab; Kidney Punch; Parry; Piercing Strike; Smoke Screen,Weapon: Invisible Blade; OffHand: Invisible Blade,,Poison,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25
Iron Golem,IronGolem,Construct,,Iron Golem Boss Room,False,True,1250,1250,250,250,12000,12000,35,35,25,25,35,35,40,40,21,21,16,16,65,65,62,62,45,45,66,66,5,Enfeeble,Crush; Goad; Triple Strike,Weapon: Laser; Armor: Stone Armor; OffHand: Force Field,Power Core; Aard of Being; Old Key; Scrap Metal,Poison; Death; Stone,1.0,-0.25,-0.25,-0.5,0.5,0.0,0.0,0.0,1.0,0.5
Jester,Jester,Humanoid,,Funhouse Boss Room,False,True,1138,1138,290,290,22000,22000,28,28,30,30,24,24,38,38,99,99,34,34,50,50,34,34,42,42,32,32,5,Dispel; Fireball; Hex; Silence,Slot Machine,Weapon: Kukri; Armor: Studded Cuirboulli; OffHand: Kukri,Item; Old Key; Joker,Death; Stone; Disarm,0.0,0.0,0.0,0.0,0.0,0.0,0.35,-0.15,0.25,0.1
Lich,Lich,Undead,5; 6,,False,False,230,320,155,155,880,1220,25,25,35,35,40,40,20,20,36,36,22,22,44,44,42,42,63,63,70,70,5,Blizzard; Boost; Desoul; Ice Block; Terrify,Health/Mana Drain,Weapon: touches; Armor: Wizard's Robe; OffHand: Necronomicon,Phylactery,Death,-0.25,0.9,0.0,0.0,0.0,0.0,0.5,-0.75,0.5,0.0
Mad Waitress,NightHag2,Fey,,,False,False,500,500,300,300,2500,2500,18,18,24,24,30,30,15,15,15,15,20,20,40,40,51,51,72,72,68,68,3,Enfeeble; Magic Missile; Sleep,Nightmare Fuel; Widow's Wail,Weapon: Kris; Armor: Silver Cloak; OffHand: Infernal Grimoire,Hemlock Root; Brass Key,Death; Stone,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25
Maelephant,Maelephant,Fiend,,,False,False,678,818,240,240,1450,1780,48,48,20,20,36,36,58,58,28,28,18,18,96,96,96,96,58,58,82,82,6,Shell; Terrify,Crush; Goad; Stomp,Weapon: Battle Gauntlet; Armor: Demon Armor,,Death; Stun; Prone,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,0.0,0.25
Merzhin,Merzhin,Humanoid,,Realm of Cambion,False,False,1528,1528,2061,2061,90000,90000,32,32,61,61,58,58,28,28,35,35,32,32,103,103,101,101,140,140,164,164,6,Boost; Disintegrate; Magic Missile; Mirror Image; Photon Sphere; Ruin,Mana Shield,Weapon: Khatvanga; Armor: Robes of Merlin; OffHand: Vedas,Codex of Eternity; Master Key,Death; Stone; Disarm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mind Flayer,MindFlayer,Aberration,5; 6,,False,False,215,310,190,190,890,1150,28,28,40,40,35,35,25,25,22,22,18,18,42,42,38,38,68,68,81,81,5,Corruption; Doom; Terrify,Mana Drain,Weapon: Mithrilshod Staff; Armor: Wizard's Robe,,Death,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.25,0.0,0.0
Minotaur,Minotaur,Monster,,Minotaur Boss Room,False,True,100,100,68,68,250,250,18,18,8,8,10,10,14,14,14,14,12,12,24,24,15,15,12,12,17,17,1,,Charge; Disarm; Mortal Strike; Parry,Weapon: Broadaxe; Armor: Leather Armor,Weapon; Leather,Death; Disarm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
